threshold,precision,recall,f1,accuracy,TN,FP,FN,TP,FPR,FNR
0.15,0.631578947368421,0.8450704225352113,0.7228915662650602,0.9989191475363612,42453,35,11,60,0.0008237620033891923,0.15492957746478872
0.16,0.6704545454545454,0.8309859154929577,0.7421383647798742,0.9990366314998003,42459,29,12,59,0.000682545659951045,0.16901408450704225
0.17,0.686046511627907,0.8309859154929577,0.7515923566878981,0.9990836250851759,42461,27,12,59,0.0006354735454716626,0.16901408450704225
0.18,0.6941176470588235,0.8309859154929577,0.7564102564102564,0.9991071218778637,42462,26,12,59,0.0006119374882319714,0.16901408450704225
0.19,0.7108433734939759,0.8309859154929577,0.7662337662337663,0.9991541154632393,42464,24,12,59,0.000564865373752589,0.16901408450704225
0.2,0.7108433734939759,0.8309859154929577,0.7662337662337663,0.9991541154632393,42464,24,12,59,0.000564865373752589,0.16901408450704225
0.21,0.7160493827160493,0.8169014084507042,0.7631578947368421,0.9991541154632393,42465,23,13,58,0.0005413293165128977,0.18309859154929578
0.22,0.7341772151898734,0.8169014084507042,0.7733333333333333,0.9992011090486148,42467,21,13,58,0.0004942572020335154,0.18309859154929578
0.23,0.7435897435897436,0.8169014084507042,0.7785234899328859,0.9992246058413027,42468,20,13,58,0.00047072114479382413,0.18309859154929578
0.24,0.75,0.8028169014084507,0.7755102040816326,0.9992246058413027,42469,19,14,57,0.00044718508755413295,0.19718309859154928
0.25,0.76,0.8028169014084507,0.7808219178082192,0.9992481026339904,42470,18,14,57,0.0004236490303144417,0.19718309859154928
0.26,0.76,0.8028169014084507,0.7808219178082192,0.9992481026339904,42470,18,14,57,0.0004236490303144417,0.19718309859154928
0.27,0.76,0.8028169014084507,0.7808219178082192,0.9992481026339904,42470,18,14,57,0.0004236490303144417,0.19718309859154928
0.28,0.76,0.8028169014084507,0.7808219178082192,0.9992481026339904,42470,18,14,57,0.0004236490303144417,0.19718309859154928
0.29,0.76,0.8028169014084507,0.7808219178082192,0.9992481026339904,42470,18,14,57,0.0004236490303144417,0.19718309859154928
0.3,0.7916666666666666,0.8028169014084507,0.7972027972027972,0.9993185930120538,42473,15,14,57,0.0003530408585953681,0.19718309859154928
0.31,0.8142857142857143,0.8028169014084507,0.8085106382978723,0.9993655865974295,42475,13,14,57,0.0003059687441159857,0.19718309859154928
0.32,0.8115942028985508,0.7887323943661971,0.8,0.9993420898047417,42475,13,15,56,0.0003059687441159857,0.2112676056338028
